Organisation Name,NACS Code,Organisation Type,Address1,Address2,Address3,Address4,Address5,PostCode,Telephone Number,NHS.UK users rating,Value  (NHS.UK users rating),Banding Classification  (NHS.UK users rating),Accepting NHS patients by referral only,Value  (Accepting NHS patients by referral only),Banding Classification  (Accepting NHS patients by referral only),Accepting new adult NHS patients,Value  (Accepting new adult NHS patients),Banding Classification  (Accepting new adult NHS patients),Accepting new adult patients entitled to free NHS dental care,Value  (Accepting new adult patients entitled to free NHS dental care),Banding Classification  (Accepting new adult patients entitled to free NHS dental care),Accepting children as new NHS patients,Value  (Accepting children as new NHS patients),Banding Classification  (Accepting children as new NHS patients),Urgent NHS dental appointments,Value  (Urgent NHS dental appointments),Banding Classification  (Urgent NHS dental appointments),Induction loop (Induction loop in place),Car parking (Is there car parking at this organisation?)
Clitheroe Hospital - Dental Department,V008866,DEN,Clitheore Hospital,Chatburn Road,,Clitheroe,Lancashire,BB7 4JX,Tel: 01254 283860,2 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V008866,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,yes,
Lowedges Dental Care Limited,V036223,DEN,120 Lowedges Road,Lowedges,SHEFFIELD,South Yorkshire,,S8 7LD,Tel: 0114 237 8847,1 rating Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V036223,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,
Sandon Dental Practice,V005888,DEN,,34 Hoole Road,,Chester,Cheshire,CH2 3NJ,Tel: 01244 321821,4 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005888,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,yes,yes
Chu & Tsao Dental Group & Associates,V007481,DEN,Tsao Dental Practice,192 Church Road,Litherland,Liverpool,,L21 5HE,Tel: 0151 928 4993,11 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007481,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,yes,yes
"mydentist, Spital Hill, Sheffield ",V005451,DEN,,197-199 Spital Hill,Burngreave,Sheffield,South Yorkshire,S4 7LF,Tel: 0114 272 8821,10 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005451,,,,false,no,,false,no,,false,no,,false,no,,false,no,yes,yes
Atlantic Dental Practice at Ropewalks,V012322,DEN,28  Argyle Street,,,Liverpool,,L1 5DL,Tel: 0151 295 9870,52 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V012322,,,,false,no,,false,no,,false,no,,false,no,,false,no,yes,no
Marlborough Road Dental Practice,V010590,DEN,5 Marlborough Road,Manningham,,Bradford,,BD8 7LD,Tel: 01274 546673,4 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V010590,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,yes,yes
DRAKES DENTAL CARE,V001862,DEN,79 Berry Lane,Longridge,Preston,Lancs,,PR3 3WH,Tel: 01772783582,7 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001862,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,no,yes
Manningham Lane Dental Practice,V002305,DEN,259 Manningham Lane,Bradford,,W Yorkshire,,BD8 7EP,Tel: 01274 499365,19 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002305,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,no,yes
Worsbrough Dental Practice,V004926,DEN,63 Park Road,Worsbrough,,Barnsley,South Yorkshire,S70 5AD,Tel: 01226249804,6 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V004926,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,,yes
Warren House Dental Surgery,V004920,DEN,231 Sheffield Road,,,Barnsley,,S70 4DE,Tel: 01226 205239,1 rating Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V004920,,,,false,no,,false,no,,false,no,,false,no,,false,no,yes,yes
Marian Square Dental Practice,V011227,DEN,31 Fleetwoods Lane,Netherton,Merseyside,Liverpool,,L30 0QG,Tel: 0151 924 7111,38 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V011227,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,true,yes,yes,yes
AMK Orthodontics Limited,V282305,DEN,Turret Orthodontic Practice,Unit 4,Old Haymarket,73-89 Victoria Street,Liverpool,L1 6AF,,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V282305,0,0,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,
"mydentist, Stanley Road, Liverpool",V007487,DEN,,200 Stanley Road,,Bootle,Merseyside,L20 3EN,Tel: 01519221652,10 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007487,,,,false,no,Adults 18 and over,true,yes,,true,yes,Children up to the age of 18,true,yes,,false,no,no,no
Firvale Dental Centre,V000801,DEN,Firvale Dental Practice,14 Blyde Road,Firvale,Sheffield,South Yorkshire,S5 7AF,Tel: 01142423111,21 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V000801,,,,false,no,,false,no,,false,no,,false,no,,false,no,yes,yes
Sutton Dental Practice,V006243,DEN,7-13 Black Lion Lane,Little Sutton,,Ellesmere Port,Cheshire,CH66 4PE,Tel: 0151 339 0406,41 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V006243,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,true,yes,yes,yes
Crigglestone Dental & Implant Care,V002369,DEN,102 High Street,Crigglestone,,Wakefield,,WF4 3EF,Tel: 01924 255437,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002369,0,0,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,yes,yes
Hunjan and Associate,V002205,DEN,812a Leeds Road,Bradford,,W Yorkshire,,BD3 9TY,Tel: 01274 656079,1 rating Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002205,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,no,yes
Ravat &  Ray Dental Care Bradford,V014865,DEN,,1 Bateman Street,Manningham,Bradford,West Yorkshire,BD8 7DH,Tel: 01274 493496,31 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V014865,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,yes,yes
Sefton Dental Centre,V013418_1,DEN,375 Stanley Road,Bootle,,Merseyside,,L20 3EF,Tel: 0151 944 2556,13 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V013418_1,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,no,yes
Ventre & Ventre (Perfect Smile Group),V013418,DEN,,375 Stanley Road,Bootle,Merseyside,,L20 3EF,Tel: 0151 922 8939,4 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V013418,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,yes,no
Dee Kay Dental - Sheffield,V022412,DEN,,194 Duke Street,Park Hill,Sheffield,Yorkshire,S2 5QQ,Tel: 0114 272 4409,5 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V022412,,,,false,no,,false,no,,false,no,,false,no,,false,no,yes,yes
Queens Road Dental Care,V005061,DEN,27 Queens Road,Barnsley,,S Yorkshire,,S71 1AN,Tel: 01226 282723,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005061,0,0,,false,no,Adults 18 and over,true,yes,,true,yes,Children up to the age of 18,true,yes,,false,no,no,yes
Eastham Dental Practice,V007944,DEN,1136 New Chester Road,Wirral,,Merseyside,,CH62 8AD,Tel: 0151 327 1381,11 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007944,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,no,yes
Oaksmere Dental Surgery,V004348,DEN,99 Doncaster Road,Barnsley,,S Yorkshire,,S70 1TS,Tel: 01226 207444,10 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V004348,,,,false,no,Adults 18 and over,true,yes,,true,yes,Children up to the age of 18,true,yes,,true,yes,no,yes
Hanford Dental Surgery,V006813,DEN,1 New Inn Lane,Hanford,Stoke On Trent,Staffordshire,Staffordshire,ST4 8HA,Tel: 01782 694094,28 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V006813,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,yes
Firth Park Dental Clinic,V011943,DEN,Firth Park Clinic,40 North Quadrant,Firth Park,SHEFFIELD,,S5 6NU,Tel: 0114 3078600,1 rating Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V011943,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,yes,no
Meir Dental Centre,V006865,DEN,Meir Dental Centre,1 Penfleet Avenue,Meir,Stoke-on-Trent,Staffordshire,ST3 6BP,Tel: 01782313655,12 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V006865,,,,false,no,,false,no,,false,no,,false,no,,true,yes,no,no
Firth Park Dental,V005441,DEN,Firth Park Dental,420 Firth Park Road,Firth Park,Sheffield,South Yorkshire,S5 6HH,Tel: 01142426548,10 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005441,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,no,yes
SGA Specialist Services LLP,V126199,DEN,MEIR PRIMARY CARE CENTRE,WESTON ROAD,STOKE-ON-TRENT,,,ST3 6AB,,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V126199,0,0,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,
Leeds Road Dental Practice,V002174,DEN,,649 Leeds Road,,Bradford,West Yorkshire,BD3 8EL,Tel: 01274 664913,1 rating Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002174,,,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,
LSCFT - Lancashire Community Dental Collaborative,V285796,DEN,81 CUMERAGH LANE,WHITTINGHAM,PRESTON,,,PR3 2AN,,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V285796,0,0,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,
"Bupa Dental Care, Dronfield",V008671,DEN,1-3 Stubley Lane,Dronfield,,Derbyshire,,S18 1PE,Tel: 01246 415981,1 rating Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V008671,,,,false,no,,false,no,,false,no,Children up to the age of 18,true,yes,,true,yes,yes,yes
"Bupa Dental Care, Preston ",V001873,DEN,Bupa Dental Care,25 Beech Drive,Fulwood,Preston,Lancashire,PR2 3NB,Tel: 01772 862489,3 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001873,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,no,yes
Peel Park Dental Surgery,V002235,DEN,207 Otley Road,Bradford,,W Yorkshire,,BD3 0JF,Tel: 01274 638092,9 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002235,,,,false,no,,false,no,,false,no,,false,no,,false,no,,yes
Allport Dental Practice,V007952,DEN,75 Allport Lane,Wirral,Merseyside,,,CH62 7HL,Tel: 0151 334 9203,5 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007952,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,yes
"Nicholson, R S & Associate",V005085,DEN,1 Laithes Lane,Barnsley,,S Yorkshire,,S71 3AA,Tel: 01226 295535,5 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005085,,,,false,no,,false,no,,false,no,,false,no,,false,no,yes,no
Norfolk Park Family Dental Centre,V000050,DEN,Norfolk Park Family Dental Centre,5 Samuel Road,Norfolk Park,SHEFFIELD,South Yorkshire,S2 3UA,Tel: 0114 272 6603,32 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V000050,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,true,yes,,no
White House Dental Practice,V005794,DEN,55 Chester Road,Huntington,,Chester,Cheshire,CH3 6BS,Tel: 01244 311716,18 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005794,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,no,yes
Park House Dental Practice,V043331,DEN,134 Foregate Street,Chester,,,,CH1 1HB,,2 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V043331,,,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,
M.Attwood,V007478,DEN,13 Sefton Road,Litherland,Liverpool,Merseyside,,L21 9HA,Tel: 0151 928-6355,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007478,0,0,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,no,yes
Town Hall Dental Practice,V007634_1,DEN,Litherland Town Hall Health Centre,Hatton Hill Road,Litherland,Liverpool,Merseyside,L21 9JN,Tel: 0151 541 6316,11 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007634_1,,,,false,no,,false,no,,false,no,,false,no,,false,no,yes,yes
Emergency Dental Care Revive Dental Care – Litherland,V007634,DEN,Hatton Hill Road,Litherland,,Merseyside,,L21 9JN,Tel: 0161 476 9651,4 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007634,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,Data not available,yes
"J Dwyer, Sunlight Orthodontics",V007947,DEN,215 New Chester Road,Wirral,Merseyside,,,CH62 4RD,Tel: 0151 645 5473,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007947,0,0,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,yes,yes
Castle Dental Practice,V012757,DEN,Castle Dental Practice,309 City Road,,Sheffield,South Yorkshire,S2 5HJ,Tel: 0114 272 1909,87 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V012757,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,yes,yes
"Summerfield & Associates, J. M.",V005266,DEN,,2 Newfield Green,Gleadless,SHEFFIELD,,S2 2BR,Tel: 0114 239 8198,10 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005266,,,,false,no,,false,no,,false,no,,false,no,,false,no,yes,yes
Deva Dental Surgery,V005932,DEN,Deva Dental Clinic,4 Liverpool Road,Cheshire,Chester,Cheshire,CH2 1AE,Tel: 01244 377373,2 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005932,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,no,yes
Oaklands Dental Surgery,V001874,DEN,Oaklands Dental Surgery,378 Tag Lane,Ingol,Preston,Lancashire,PR2 7AA,Tel: 01772 726338,5 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001874,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,no,yes
Muirhead and Associates,V002727,DEN,204 Bradford Road,Shipley,,W Yorkshire,,BD18 3AP,Tel: 01274 581550,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002727,0,0,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,no,yes
Plum Dental & Facial Clinic,V002004,DEN,,30 Devonshire Street,,Keighley,,BD21 2AU,Tel: 01535 666451,17 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002004,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,yes,no
"Bupa Dental Care, Keighley",V002539,DEN,32-34 Devonshire Street,,,Keighley,,BD21 2AU,Tel: 01535 603659 (ext. 664444),4 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002539,,,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,no,yes
Snape Hill Dental Studio and Implant Centre,V004514,DEN,Snapehill Dental Studio & Implant Centre,95 Snapehill Lane,,Dronfield,Derbyshire,S18 2GN,Tel: 01246 412699,2 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V004514,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,yes,yes
"mydentist, Shiregreen Lane, Sheffield",V005439,DEN,,73-75 Shiregreen Lane,Wincobank,Sheffield,South Yorkshire,S5 6AB,Tel: 01142561511,18 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005439,,,,false,no,Adults 18 and over,true,yes,,true,yes,Children up to the age of 18,true,yes,,false,no,yes,yes
Smiles by Design,V006029,DEN,9 St John Street,Chester,Cheshire,,,CH1 1DA,Tel: 01244 350500,3 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V006029,,,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,no,no
"mydentist, Upper Northgate Street, Chester",V005912,DEN,2-4 Upper Northgate Street,Unit 12,,Cheshire,,CH1 4EE,Tel: 01244 372888,24 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005912,,,,false,no,,false,no,,false,no,,false,no,,false,no,Data not available,no
Ms C A McGowan-Yeo,V007506,DEN,55 Seaforth Road,Liverpool,Merseyside,,,L21 3TX,Tel: 0151 928 9400,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007506,0,0,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,no,yes
"Bupa Dental Care, Chester",V005792,DEN,4 Park Street,Chester,Cheshire,Cheshire,,CH1 1RN,Tel: 0000000000,7 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005792,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,no,yes
Chester Dental Clinic,V011440,DEN,Belmont House,2 Volunteer Street,,Chester,Cheshire,CH1 1RG,Tel: 01244 350858,15 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V011440,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,no,yes
Hoyland Family Dental Centre,V020282,DEN,Hoyland Family Dental Centre,17 Milton Road,Hoyland,Barnsley,,S74 9AU,Tel: 01226 748404,63 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V020282,,,,false,no,Adults 18 and over,true,yes,,true,yes,Children up to the age of 18,true,yes,,true,yes,yes,yes
Bingley Dental Practice ,V001999,DEN,1 Park Road,Bingley,,W Yorkshire,,BD16 4BD,Tel: 01274 564522,6 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001999,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,yes,yes
Thorpe Hesley Dental Practice,V001794,DEN,Sough Hall Avenue,Thorpe Hesley,Rotherham,South Yorkshire,,S61 2QJ,Tel: 0114 2457561,10 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001794,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,yes,yes
"mydentist, Roydstone Road, Bradford ",V002190,DEN,,1 Roydstone Road,,Bradford,Yorkshire,BD3 7EH,Tel: 01274664303,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002190,0,0,,false,no,,false,no,,false,no,,false,no,,false,no,no,yes
White Friars House,V005889,DEN,14 White Friars,Chester,Cheshire,,,CH1 1NZ,Tel: 01244 322275,1 rating Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005889,,,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,no,no
Millenium Dentistry,V007621,DEN,Millennium Dentistry,40/42 Tape Street,Stoke-on-Trent,Cheadle,Staffordshire,ST10 1EP,Tel: 0153875515,6 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007621,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,no,yes
Thornton Dental Practice,V007500,DEN,4 The Crescent,Thornton,,Liverpool,,L23 4TA,Tel: 0151 931 4147,4 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007500,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,no,yes
Bank House Dental Practice,V005803,DEN,18 White Friars,Chester,Cheshire,,,CH1 1PW,Tel: 01244 326632,7 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005803,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,yes
"mydentist, Earl Royd, Keighley",V002571,DEN,,165 Skipton Road,,Keighley,West Yorkshire,BD21 3BG,Tel: 01535667013,16 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002571,,,,false,no,,false,no,,false,no,,false,no,,false,no,yes,yes
"mydentist, Bradford Road, Shipley",V002948,DEN,,54 Bradford Road,,Shipley,West Yorkshire,BD18 3NT,Tel: 01274 581412,78 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002948,,,,false,no,,false,no,,false,no,,false,no,,false,no,yes,no
A One Dental Practice,V002960,DEN,983 Leeds Road,983 Leeds Road,,Bradford,,BD3 7ND,Tel: 01274 664635,76 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002960,,,,false,no,,false,no,,false,no,Children up to the age of 18,true,yes,,false,no,no,yes
"Bupa Dental Care, Bingley",V002001,DEN,43 Park Road,Bingley,,W Yorkshire,,BD16 4BL,Tel: 01274 563166,1 rating Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002001,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,yes,yes
The Avenue Dentistry,V007620,DEN,2 The Avenue,Cheadle,Stoke-on-Trent,Staffordshire,Staffordshire,ST10 1EG,Tel: 01538 753737,8 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007620,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,true,yes,yes,no
"mydentist, New Chester Road, Wirral ",V007988,DEN,,477-479 New Chester Road,Rock Ferry,Wiirral,Merseyside,CH42 2AG,Tel: 01516451509,4 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007988,,,,false,no,,false,no,,false,no,,false,no,,true,yes,yes,yes
Overleigh Orthodontics,V005930,DEN,The Old Forge,"24 Overleigh Road, Handbridge",Chester,Cheshire,,CH4 7HL,Tel: 01244 677667,1 rating Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005930,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,yes,yes
Morley Dental Partners,V002664,DEN,13 Watson Street,Morley,,Leeds,West Yorkshire,LS27 0AH,Tel: 0113 2534550,36 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002664,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,yes,yes
Mr C Black & Associates,V007955,DEN,25 Church Road,Bebington,,Wirral,,CH63 7PG,Tel: 0151 645 8378,2 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007955,,,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,no,yes
Glencairn Dental Practice,V007959,DEN,13 The Village,Bebington,,Wirral,Cheshire,CH63 7PJ,Tel: 0151 645 3371,10 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007959,,,,false,no,,false,no,,false,no,,false,no,,true,yes,no,yes
Genesis Dentalcare,V004847,DEN,Lynton House - 317 Doncaster Road,Stairfoot,Barnsley,South Yorkshire,,S70 3PW,Tel: 01226 413090,881 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V004847,,,,false,no,Adults 18 and over,true,yes,,true,yes,Children up to the age of 18,true,yes,,true,yes,yes,yes
Church Road Dental Practice,V007957,DEN,66 Church Road,Bebington,,Wirral,,CH63 3EB,Tel: 0151 645 4101,2 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007957,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,no,yes
"mydentist, Rosse Street, Shipley",V002723,DEN,Crowgill House,Rosse Street,Shipley,Bradfrord,West Yorkshire,BD18 3FB,Tel: 01274585669,23 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002723,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,yes
Whitecross Dental Care Limited,V216385,DEN,CROWGILL HOUSE,ROSSE STREET,SHIPLEY,,,BD18 3FB,,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V216385,0,0,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,
